Album,Artist,City,Company,Composer,Country,CustomerID,Email,FirstName,Genre,InvoiceDate,InvoiceID,LastName,MediaType,Phone,PostalCode,Region,State,Track,Bytes,Milliseconds,Number of Records,Quantity,Sales,UnitPrice
The Best Of Buddy Guy - The Millenium Collection,Buddy Guy,Boston,,Al Perkins/Willie Dixon,USA,23,johngordon22@yahoo.com,John,Blues,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,When My Left Eye Jumps,7.69M,235311,1,2,1.98,0.99
The Best Of Billy Cobham,Billy Cobham,Boston,,Billy Cobham,USA,23,johngordon22@yahoo.com,John,Jazz,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Moon germs,9.71M,294060,1,2,1.98,0.99
Black Sabbath,Black Sabbath,Boston,,,USA,23,johngordon22@yahoo.com,John,Metal,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Evil Woman,6.66M,204930,1,2,1.98,0.99
Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society,Boston,,,USA,23,johngordon22@yahoo.com,John,Metal,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Heart Of Gold,6.42M,194873,1,3,2.97,0.99
BackBeat Soundtrack,BackBeat,Boston,,Chuck Berry,USA,23,johngordon22@yahoo.com,John,Rock And Roll,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Rock 'N' Roll Music,2.28M,141923,1,3,2.97,0.99
Out Of Exile,Audioslave,Boston,,"Cornell, Commerford, Morello, Wilk",USA,23,johngordon22@yahoo.com,John,Alternative & Punk,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Your Time Has Come,8.27M,255529,1,4,3.96,0.99
Out Of Exile,Audioslave,Boston,,"Cornell, Commerford, Morello, Wilk",USA,23,johngordon22@yahoo.com,John,Alternative & Punk,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Dandelion,9.00M,278125,1,4,3.96,0.99
Black Sabbath Vol. 4 (Remaster),Black Sabbath,Boston,,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",USA,23,johngordon22@yahoo.com,John,Metal,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Cornucopia,7.65M,234814,1,4,3.96,0.99
Chemical Wedding,Bruce Dickinson,Boston,,Roy Z,USA,23,johngordon22@yahoo.com,John,Metal,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Jerusalem,13.19M,402390,1,4,3.96,0.99
Prenda Minha,Caetano Veloso,Boston,,Caetano Veloso,USA,23,johngordon22@yahoo.com,John,Latin,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,Esse Cara,7.22M,223111,1,5,4.95,0.99
Prenda Minha,Caetano Veloso,Boston,,Tom Jobim - Newton MendoÃ§a,USA,23,johngordon22@yahoo.com,John,Latin,1/11/08 00:00,5,Gordon,MPEG audio file,+1 (617) 522-1333,2113,North  America,MA,MeditaÃ§Ã£o,4.87M,148793,1,5,4.95,0.99
Minha Historia,Chico Buarque,Frankfurt,,,Germany,37,fzimmermann@yahoo.de,Fynn,Latin,1/19/08 00:00,6,Zimmermann,MPEG audio file,+49 069 40598889,60316,Europe,,"Bye, Bye Brasil",9.50M,283402,1,2,1.98,0.99
Minha Historia,Chico Buarque,Paris,,,France,40,dominiquelefebvre@gmail.com,Dominique,Latin,2/1/08 00:00,8,Lefebvre,MPEG audio file,+33 01 47 42 71 71,75002,Europe,,A Banda,4.35M,132493,1,1,0.99,0.99
Minha Historia,Chico Buarque,Berlin,,,Germany,38,nschroder@surfeu.de,Niklas,Latin,2/1/08 00:00,7,Schroeder,MPEG audio file,+49 030 2141444,10779,Europe,,Atras Da Porta,6.13M,189675,1,1,0.99,0.99
Minha Historia,Chico Buarque,Berlin,,,Germany,38,nschroder@surfeu.de,Niklas,Latin,2/1/08 00:00,7,Schroeder,MPEG audio file,+49 030 2141444,10779,Europe,,Tatuagem,5.65M,172120,1,2,1.98,0.99
Minha Historia,Chico Buarque,Paris,,,France,40,dominiquelefebvre@gmail.com,Dominique,Latin,2/1/08 00:00,8,Lefebvre,MPEG audio file,+33 01 47 42 71 71,75002,Europe,,Morena De Angola,6.37M,186801,1,3,2.97,0.99
Minha Historia,Chico Buarque,Bordeaux,,,France,42,wyatt.girard@yahoo.fr,Wyatt,Latin,2/2/08 00:00,9,Girard,MPEG audio file,+33 05 56 96 96 96,33000,Europe,,Meu Caro Amigo,8.78M,260257,1,1,0.99,0.99
Minha Historia,Chico Buarque,Bordeaux,,,France,42,wyatt.girard@yahoo.fr,Wyatt,Latin,2/2/08 00:00,9,Girard,MPEG audio file,+33 05 56 96 96 96,33000,Europe,,Com AÃ§Ãºcar E Com Afeto,5.85M,175386,1,2,1.98,0.99
Minha Historia,Chico Buarque,Bordeaux,,,France,42,wyatt.girard@yahoo.fr,Wyatt,Latin,2/2/08 00:00,9,Girard,MPEG audio file,+33 05 56 96 96 96,33000,Europe,,Gota D'Ã¡gua,5.07M,153208,1,5,4.95,0.99
Minha Historia,Chico Buarque,Bordeaux,,,France,42,wyatt.girard@yahoo.fr,Wyatt,Latin,2/2/08 00:00,9,Girard,MPEG audio file,+33 05 56 96 96 96,33000,Europe,,Trocando Em MiÃºdos,5.46M,169717,1,5,4.95,0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/08 00:00,10,O'Reilly,MPEG audio file,+353 01 6792424,,Europe,Dublin,Sangue De Bairro,4.42M,132231,1,1,0.99,0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/08 00:00,10,O'Reilly,MPEG audio file,+353 01 6792424,,Europe,Dublin,Amor De Muito,5.88M,175333,1,4,3.96,0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/08 00:00,10,O'Reilly,MPEG audio file,+353 01 6792424,,Europe,Dublin,Maracatu AtÃ´mico [Trip Hop],7.38M,221492,1,4,3.96,0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/08 00:00,10,O'Reilly,MPEG audio file,+353 01 6792424,,Europe,Dublin,Etnia,5.06M,152555,1,5,4.95,0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/08 00:00,10,O'Reilly,MPEG audio file,+353 01 6792424,,Europe,Dublin,Samba Do Lado,7.54M,227317,1,5,4.95,0.99
Afrociberdelia,Chico Science & NaÃ§Ã£o Zumbi,Dublin,,Chico Science,Ireland,46,hughoreilly@apple.ie,Hugh,Latin,2/3/08 00:00,10,O'Reilly,MPEG audio file,+353 01 6792424,,Europe,Dublin,Sobremesa,7.96M,240091,1,5,4.95,0.99
Na Pista,ClÃ¡udio Zoli,London,,,United Kingdom,52,emma_jones@hotmail.com,Emma,Latin,2/6/08 00:00,11,Jones,MPEG audio file,+44 020 7707 0707,N1 5LH,Europe,,Livre Pra Viver,7.11M,214595,1,2,1.98,0.99
Cidade Negra - Hits,Cidade Negra,London,,Lulu Santos,United Kingdom,52,emma_jones@hotmail.com,Emma,Reggae,2/6/08 00:00,11,Jones,MPEG audio file,+44 020 7707 0707,N1 5LH,Europe,,SÃ¡bado A Noite,8.90M,267363,1,2,1.98,0.99
Da Lama Ao Caos,Chico Science & NaÃ§Ã£o Zumbi,London,,,United Kingdom,52,emma_jones@hotmail.com,Emma,Latin,2/6/08 00:00,11,Jones,MPEG audio file,+44 020 7707 0707,N1 5LH,Europe,,Lixo Do Mangue,6.53M,193253,1,3,2.97,0.99
AcÃºstico MTV [Live],Cidade Negra,London,,Bino Farias/Da Gama/LazÃ£o/Toni Garrido,United Kingdom,52,emma_jones@hotmail.com,Emma,Reggae,2/6/08 00:00,11,Jones,MPEG audio file,+44 020 7707 0707,N1 5LH,Europe,,JÃ¡ Foi,7.39M,221544,1,3,2.97,0.99
Na Pista,ClÃ¡udio Zoli,London,,,United Kingdom,52,emma_jones@hotmail.com,Emma,Latin,2/6/08 00:00,11,Jones,MPEG audio file,+44 020 7707 0707,N1 5LH,Europe,,Linha Do Equador,8.12M,244715,1,4,3.96,0.99
Da Lama Ao Caos,Chico Science & NaÃ§Ã£o Zumbi,London,,,United Kingdom,52,emma_jones@hotmail.com,Emma,Latin,2/6/08 00:00,11,Jones,MPEG audio file,+44 020 7707 0707,N1 5LH,Europe,,Samba Makossa,9.10M,271856,1,5,4.95,0.99
AcÃºstico MTV [Live],Cidade Negra,London,,Bernardo Vilhena/Da Gama/LazÃ£o,United Kingdom,52,emma_jones@hotmail.com,Emma,Reggae,2/6/08 00:00,11,Jones,MPEG audio file,+44 020 7707 0707,N1 5LH,Europe,,A Cor Do Sol,7.66M,231392,1,5,4.95,0.99
AcÃºstico MTV [Live],Cidade Negra,London,,Bino Farias/Da Gama/Henry Lawes/LazÃ£o/Toni Garrido/Winston Foser-Vers,United Kingdom,52,emma_jones@hotmail.com,Emma,Reggae,2/6/08 00:00,11,Jones,MPEG audio file,+44 020 7707 0707,N1 5LH,Europe,,Firmamento,7.40M,222145,1,5,4.95,0.99
Cidade Negra - Hits,Cidade Negra,London,,Harry Lawes/Winston Foster-Vers,United Kingdom,52,emma_jones@hotmail.com,Emma,Reggae,2/6/08 00:00,11,Jones,MPEG audio file,+44 020 7707 0707,N1 5LH,Europe,,Firmamento,7.51M,225488,1,5,4.95,0.99
Chill: Brazil (Disc 1),Marcos Valle,Stuttgart,,Nando Reis,Germany,2,leonekohler@surfeu.de,Leonie,Latin,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,All Star,5.89M,176326,1,1,0.99,0.99
BBC Sessions [Disc 1] [Live],Led Zeppelin,Stuttgart,,J B Lenoir/Willie Dixon,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,You Shook Me(2),20.14M,619467,1,1,0.99,0.99
Greatest Hits II,Queen,Stuttgart,,Queen,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,I'm Going Slightly Mad,8.19M,248032,1,1,0.99,0.99
AxÃ© Bahia 2001,Various Artists,Stuttgart,,"Do Vale, Valverde/Gal Oliveira/Luciano Pinto",Germany,2,leonekohler@surfeu.de,Leonie,Pop,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,Lavadeira,7.25M,214256,1,2,1.98,0.99
Bongo Fury,Frank Zappa & Captain Beefheart,Stuttgart,,Don Van Vliet,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,Man With The Woman Head,2.92M,88894,1,2,1.98,0.99
Greatest Kiss,Kiss,Stuttgart,,Paul Stanley,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,God Of Thunder,8.31M,255791,1,2,1.98,0.99
BBC Sessions [Disc 1] [Live],Led Zeppelin,Stuttgart,,Jimmy Page,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,Dazed and Confused,13.04M,401920,1,2,1.98,0.99
Chill: Brazil (Disc 2),AntÃ´nio Carlos Jobim,Stuttgart,,VÃ¡rios,Germany,2,leonekohler@surfeu.de,Leonie,Latin,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,Tanto Tempo,5.57M,170292,1,3,2.97,0.99
Chill: Brazil (Disc 2),AntÃ´nio Carlos Jobim,Stuttgart,,VÃ¡rios,Germany,2,leonekohler@surfeu.de,Leonie,Latin,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,Bumbo Da Mangueira,9.07M,270158,1,3,2.97,0.99
Garage Inc. (Disc 1),Metallica,Stuttgart,,Danzig,Germany,2,leonekohler@surfeu.de,Leonie,Metal,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,Die Die My Darling,4.87M,149315,1,3,2.97,0.99
Greatest Kiss,Kiss,Stuttgart,,"Paul Stanley, Vincent Poncia",Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,Sure Know Something,7.94M,242468,1,3,2.97,0.99
Greatest Hits II,Queen,Stuttgart,,Roger Taylor,Germany,2,leonekohler@surfeu.de,Leonie,Rock,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,Radio GA GA,11.36M,343745,1,3,2.97,0.99
Carnaval 2001,Various Artists,Stuttgart,,,Germany,2,leonekohler@surfeu.de,Leonie,Soundtrack,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,Leandro De Itaquera 2001,9.45M,274808,1,3,2.97,0.99
Chill: Brazil (Disc 1),Marcos Valle,Stuttgart,,J.r.Bertami/Parana,Germany,2,leonekohler@surfeu.de,Leonie,Latin,2/11/08 00:00,12,Kahler,MPEG audio file,+49 0711 2842222,70174,Europe,,VÃ´o Sobre o Horizonte,7.53M,225097,1,5,4.95,0.99
Heart of the Night,Spyro Gyra,Mountain View,Google Inc.,,USA,16,fharris@google.com,Frank,Jazz,2/19/08 00:00,13,Harris,MPEG audio file,+1 (650) 253-0000,94043-1351,North  America,CA,Valentino's,9.85M,296124,1,4,3.96,0.99
International Superhits,Green Day,Cupertino,Apple Inc.,Billie Joe Armstrong -Words Green Day -Music,USA,19,tgoyer@apple.com,Tim,Alternative & Punk,3/4/08 00:00,15,Goyer,MPEG audio file,+1 (408) 996-1010,95014,North  America,CA,Maria,5.48M,167262,1,1,0.99,0.99
Heart of the Night,Spyro Gyra,Redmond,Microsoft Corporation,,USA,17,jacksmith@microsoft.com,Jack,Jazz,3/4/08 00:00,14,Smith,MPEG audio file,+1 (425) 882-8080,98052-8300,North  America,WA,Believe,10.32M,310778,1,1,0.99,0.99
Heart of the Night,Spyro Gyra,Redmond,Microsoft Corporation,,USA,17,jacksmith@microsoft.com,Jack,Jazz,3/4/08 00:00,14,Smith,MPEG audio file,+1 (425) 882-8080,98052-8300,North  America,WA,As We Sleep,10.43M,316865,1,2,1.98,0.99
Heart of the Night,Spyro Gyra,Cupertino,Apple Inc.,,USA,19,tgoyer@apple.com,Tim,Jazz,3/4/08 00:00,15,Goyer,MPEG audio file,+1 (408) 996-1010,95014,North  America,CA,J Squared,9.48M,288757,1,4,3.96,0.99
International Superhits,Green Day,Reno,,Billie Joe Armstrong -Words Green Day -Music,USA,21,kachase@hotmail.com,Kathy,Alternative & Punk,3/5/08 00:00,16,Chase,MPEG audio file,+1 (775) 223-7665,89503,North  America,NV,Basket Case,5.95M,181629,1,1,0.99,0.99
International Superhits,Green Day,Reno,,Billie Joe Armstrong -Words Green Day -Music,USA,21,kachase@hotmail.com,Kathy,Alternative & Punk,3/5/08 00:00,16,Chase,MPEG audio file,+1 (775) 223-7665,89503,North  America,NV,She,4.43M,134164,1,3,2.97,0.99
International Superhits,Green Day,Reno,,Billie Joe Armstrong -Words Green Day -Music,USA,21,kachase@hotmail.com,Kathy,Alternative & Punk,3/5/08 00:00,16,Chase,MPEG audio file,+1 (775) 223-7665,89503,North  America,NV,Geek Stink Breath,4.41M,135888,1,4,3.96,0.99
International Superhits,Green Day,Reno,,Billie Joe Armstrong -Words Green Day -Music,USA,21,kachase@hotmail.com,Kathy,Alternative & Punk,3/5/08 00:00,16,Chase,MPEG audio file,+1 (775) 223-7665,89503,North  America,NV,Longview,7.71M,234083,1,5,4.95,0.99
International Superhits,Green Day,Madison,,Billie Joe Armstrong -Words Green Day -Music,USA,25,vstevens@yahoo.com,Victor,Alternative & Punk,3/6/08 00:00,17,Stevens,MPEG audio file,+1 (608) 257-0597,53703,North  America,WI,Nice Guys Finish Last,5.60M,170187,1,1,0.99,0.99
Into The Light,David Coverdale,Madison,,Bossi/David Coverdale/Earl Slick,USA,25,vstevens@yahoo.com,Victor,Rock,3/6/08 00:00,17,Stevens,MPEG audio file,+1 (608) 257-0597,53703,North  America,WI,Living On Love,12.79M,391549,1,1,0.99,0.99
Into The Light,David Coverdale,Madison,,David Coverdale,USA,25,vstevens@yahoo.com,Victor,Rock,3/6/08 00:00,17,Stevens,MPEG audio file,+1 (608) 257-0597,53703,North  America,WI,Don't You Cry,11.27M,347036,1,3,2.97,0.99
Into The Light,David Coverdale,Madison,,David Coverdale,USA,25,vstevens@yahoo.com,Victor,Rock,3/6/08 00:00,17,Stevens,MPEG audio file,+1 (608) 257-0597,53703,North  America,WI,Wherever You May Go,7.80M,239699,1,4,3.96,0.99
International Superhits,Green Day,Madison,,Billie Joe Armstrong -Words Green Day -Music,USA,25,vstevens@yahoo.com,Victor,Alternative & Punk,3/6/08 00:00,17,Stevens,MPEG audio file,+1 (608) 257-0597,53703,North  America,WI,Stuck With Me,4.43M,135523,1,5,4.95,0.99
International Superhits,Green Day,Madison,,Billie Joe Armstrong -Words Green Day -Music,USA,25,vstevens@yahoo.com,Victor,Alternative & Punk,3/6/08 00:00,17,Stevens,MPEG audio file,+1 (608) 257-0597,53703,North  America,WI,Macy's Day Parade,7.08M,213420,1,5,4.95,0.99
Meus Momentos,Gonzaguinha,Halifax,,,Canada,31,marthasilk@gmail.com,Martha,Latin,3/9/08 00:00,18,Silk,MPEG audio file,+1 (902) 450-0450,B3S 1C5,North  America,NS,"Diga LÃ¡, CoraÃ§Ã£o",8.28M,255921,1,2,1.98,0.99
Meus Momentos,Gonzaguinha,Halifax,,Gonzaga Jr,Canada,31,marthasilk@gmail.com,Martha,Latin,3/9/08 00:00,18,Silk,MPEG audio file,+1 (902) 450-0450,B3S 1C5,North  America,NS,Comportamento Geral,6.00M,181577,1,2,1.98,0.99
MK III The Final Concerts [Disc 1],Deep Purple,Halifax,,Gillan/Glover/Lord/Paice,Canada,31,marthasilk@gmail.com,Martha,Rock,3/9/08 00:00,18,Silk,MPEG audio file,+1 (902) 450-0450,B3S 1C5,North  America,NS,Smoke On The Water,20.10M,618031,1,2,1.98,0.99
Minha HistÃ³ria,Os Mutantes,Halifax,,Arnaldo Baptista - Rita Lee - SÃ©rgio Dias,Canada,31,marthasilk@gmail.com,Martha,Alternative & Punk,3/9/08 00:00,18,Silk,MPEG audio file,+1 (902) 450-0450,B3S 1C5,North  America,NS,Meu Refrigerador NÃ£o Funciona,12.50M,382981,1,3,2.97,0.99
Minha Historia,Chico Buarque,Halifax,,,Canada,31,marthasilk@gmail.com,Martha,Latin,3/9/08 00:00,18,Silk,MPEG audio file,+1 (902) 450-0450,B3S 1C5,North  America,NS,Podres Poderes,8.62M,259761,1,3,2.97,0.99
Minha HistÃ³ria,Os Mutantes,Halifax,,Arnaldo Baptista - Rita Lee -  SÃ©rgio Dias,Canada,31,marthasilk@gmail.com,Martha,Alternative & Punk,3/9/08 00:00,18,Silk,MPEG audio file,+1 (902) 450-0450,B3S 1C5,North  America,NS,Ando Meio Desligado,9.48M,287817,1,4,3.96,0.99
Minha HistÃ³ria,Os Mutantes,Halifax,,Rita Lee - Arnaldo Baptista - SÃ©rgio Baptista,Canada,31,marthasilk@gmail.com,Martha,Alternative & Punk,3/9/08 00:00,18,Silk,MPEG audio file,+1 (902) 450-0450,B3S 1C5,North  America,NS,Vida De Cachorro,6.41M,195186,1,4,3.96,0.99
Minha Historia,Chico Buarque,Halifax,,,Canada,31,marthasilk@gmail.com,Martha,Latin,3/9/08 00:00,18,Silk,MPEG audio file,+1 (902) 450-0450,B3S 1C5,North  America,NS,Queixa,9.95M,299676,1,4,3.96,0.99
Physical Graffiti [Disc 1],Led Zeppelin,Halifax,,John Paul Jones,Canada,31,marthasilk@gmail.com,Martha,Rock,3/9/08 00:00,18,Silk,MPEG audio file,+1 (902) 450-0450,B3S 1C5,North  America,NS,Trampled Under Foot,11.15M,336692,1,4,3.96,0.99
